industry,industry_total
SaaS,243
Fintech,193
Developer Tools,86
Marketplace,75
Crypto / Web3,57
Artifical Intelligence,57
Consumer,55
Machine Learning,47
E-commerce,44
Climate,41
Healthcare,38
Payments,31
API,30
Logistics,28
Analytics,26
Data Engineering,25
Enterprise,24
Biotech,23
Proptech,23
Consumer Health Services,22
Productivity,22
Digital Health,22
Neobank,22
Education,21
Hardware,20
Health Tech,18
HR Tech,17
Gaming,16
Open Source,15
Supply Chain,15
DevSecOps,14
Food Tech,14
DeFi,14
Real Estate,14
Security,14
NFT,13
Hard Tech,13
Investing,13
Robotics,13
Delivery,13
Insurance,13
Computer Vision,12
Banking as a Service,12
Medical Devices,12
Identity,12
No-code,11
Entertainment,10
Social,10
Video,9
Human Resources,9
Construction,9
Sales,9
Therapeutics,9
Mental Health Tech,9
Creator Economy,8
Retail,8
Recruiting,8
Community,7
Health Insurance,7
Documents,7
Carbon Capture and Removal,7
Virtual Reality,7
ClimateTech,7
Electric Vehicles,7
Deep Learning,6
Design Tools,6
IoT,6
Grocery,6
Telehealth,6
NLP,6
Energy,6
Compliance,6
Transportation,6
Solar Power,5
Telemedicine,5
Energy Storage,5
Subscriptions,5
Remote Work,5
Warehouse Management Tech,5
FinOps,5
Satellites,4
Kubernetes,4
Travel,4
Diagnostics,4
Crowdfunding,4
LegalTech,4
Messaging,4
Privacy,4
eLearning,4
AIOps,4
Sports Tech,4
Digital Freight Brokerage,4
Airplanes,4
Collaboration,4
Robotic Process Automation,4
Generative AI,4
Payroll,3
Synthetic Biology,3
Media,3
Legal Tech,3
Augmented Reality,3
GovTech,3
Drug discovery,3
Manufacturing,3
Space Exploration,3
Gene Therapy,3
Oncology,3
AI-Enhanced Learning,3
DAO,3
Cashierless Checkout,2
Legal,2
IK12,2
Social Network,2
Air Taxis,2
Cloud Gaming,2
Bioplastic,2
Housing,2
Fitness,2
Cannabis,2
Social Media,2
Conversational Banking,2
Next-gen Network Security,2
Commercial Space Launch,2
Fertility Tech,2
Genomics,2
Customer Success,2
Renewable Energy,2
Hydrogen Energy,2
Sustainable Fashion,2
Assistive Tech,2
Femtech,2
Agriculture,2
Regtech,2
Geographic Information System,2
Quantum Computing,1
Indoor Mapping,1
Fusion Energy,1
Food Service Robots & Machines,1
Smart Locks,1
Small Modular Reactors,1
Autonomous Delivery,1
Cellular Agriculture,1
Beauty,1
Primary Care,1
Autonomous Trucking,1
Speech Recognition,1
3D Printing,1
Smart Clothing,1
Neurotechnology,1
Cryogenics,1
COVID-19,1
Autonomous Shipping,1
Auto Commerce,1
Ghost Kitchens,1
Deepfake Detection,1
Drones,1
Unmanned Vehicle,1
AI-powered Drug Discovery,1
Clean Meat,1
Cultured Meat,1
Civic Tech,1
Nanotechnology,1
,0
