founded,industry,num_startups
2006,Fintech,1
2007,SaaS,1
2007,Developer Tools,1
2008,Fintech,1
2008,Marketplace,1
2008,SaaS,1
2009,Fintech,1
2009,Marketplace,1
2009,SaaS,1
2010,SaaS,1
2010,Fintech,1
2011,SaaS,10
2011,Fintech,3
2011,Developer Tools,2
2011,Marketplace,1
2011,Artifical Intelligence,1
2012,SaaS,13
2012,Developer Tools,5
2012,Marketplace,4
2012,Fintech,3
2012,Artifical Intelligence,1
2013,SaaS,7
2013,Marketplace,4
2013,Fintech,4
2013,Developer Tools,3
2013,Artifical Intelligence,1
2014,SaaS,13
2014,Fintech,6
2014,Developer Tools,4
2014,Marketplace,4
2014,Artifical Intelligence,1
2015,SaaS,16
2015,Fintech,14
2015,Marketplace,9
2015,Developer Tools,2
2015,Artifical Intelligence,2
2016,SaaS,6
2016,Fintech,3
2016,Artifical Intelligence,3
2016,Developer Tools,3
2016,Marketplace,1
2017,SaaS,11
2017,Fintech,8
2017,Marketplace,8
2017,Artifical Intelligence,6
2017,Developer Tools,4
2018,Fintech,13
2018,SaaS,7
2018,Marketplace,3
2018,Developer Tools,3
2018,Artifical Intelligence,2
2019,Fintech,16
2019,SaaS,13
2019,Artifical Intelligence,4
2019,Marketplace,3
2019,Developer Tools,1
2020,SaaS,26
2020,Fintech,20
2020,Artifical Intelligence,6
2020,Developer Tools,4
2020,Marketplace,4
2021,SaaS,50
2021,Fintech,49
2021,Developer Tools,25
2021,Marketplace,20
2021,Artifical Intelligence,14
2022,SaaS,57
2022,Fintech,45
2022,Developer Tools,25
2022,Artifical Intelligence,15
2022,Marketplace,9
