id,company_name,founded,team_size,no_founders,no_company_socials,no_tags,Remote,country_cleaned,city
1,Airbnb,2008,5000,3,4,4,No,USA,San Francisco
2,Amplitude,2012,500,2,1,3,No,USA,San Francisco
3,DoorDash,,1600,3,4,2,No,USA,San Francisco
4,Coinbase,2012,500,1,3,2,No,USA,San Francisco
5,Dropbox,2008,4000,2,4,2,No,USA,San Francisco
6,Embark Trucks,2016,100,2,2,3,No,USA,San Francisco
7,Ginkgo Bioworks,2009,500,5,3,4,Yes,USA,Boston
8,Lucira Health,,43,1,2,2,No,USA,Emeryville
9,MatterPort,,201,2,1,3,No,USA,Sunnyvale
10,Momentus,2017,125,0,4,5,No,USA,Santa Clara
11,PagerDuty,,775,2,1,2,No,USA,San Francisco
12,Pardes Biosciences,2020,2,0,1,4,No,USA,San Francisco
13,Rigetti Computing,,51,1,1,3,No,USA,Berkeley
14,Weave,2011,600,3,1,3,No,USA,Lehi
15,GitLab,2012,1200,2,4,4,No,USA,San Francisco
16,Stripe,,2600,2,2,5,Yes,USA,San Francisco
17,Instacart,2012,1500,3,4,5,Yes,USA,San Francisco
18,Cruise,2013,1800,2,4,5,Yes,USA,San Francisco
19,OpenSea,2017,110,2,4,5,No,USA,New York
20,Faire,,260,3,2,2,No,USA,San Francisco
21,Brex,,800,2,4,2,No,USA,San Francisco
22,Deel,2018,600,2,4,3,No,USA,San Francisco
23,Rippling,2016,1000,2,3,2,Yes,USA,San Francisco
24,Reddit,,201,1,3,2,No,USA,San Francisco
25,Gusto,2011,2000,3,4,5,Yes,USA,San Francisco
26,Flexport,2013,2800,1,3,5,Yes,USA,San Francisco
27,Razorpay,2015,700,2,4,5,Yes,India,Bengaluru
28,Scale AI,,440,1,4,2,Yes,USA,San Francisco
29,Benchling,2012,700,1,3,5,Yes,USA,San Francisco
30,Fivetran,2012,950,2,3,2,Yes,USA,Oakland
31,Rappi,,2000,3,3,2,No,Colombia,Bogotá
32,Checkr,2014,580,2,3,2,Yes,USA,San Francisco
