id,role,company_id,name_cleaned
1,CTO,1,Nathan Blecharczyk
2,CEO,1,Brian Chesky
3,Other,1,Joe Gebbia
4,CTO,2,Curtis Liu
5,CEO,2,Spenser Skates
6,Other,3,Andy Fang
7,Other,3,Stanley Tang
8,CEO,3,Tony Xu
9,CEO,4,Brian Armstrong
10,,5,Arash Ferdowsi
11,CEO,5,Drew Houston
12,CTO,6,Brandon Moak
13,CEO,6,Alex Rodrigues
14,Other,7,Barry Canton
15,Other,7,Austin Che
16,Other,7,Jason Kelly
17,Other,7,Tom Knight
18,Other,7,Reshma Shetty
19,Other,8,Debkishore Mitra
20,Other,9,Matt Bell
21,CTO,9,David Gausebeck
22,Other,11,Baskar Puvanathasan
23,CTO,11,Alex Solomon
24,CEO,13,Chad Rigetti
25,CTO,14,Clint Berry
26,CEO,14,Brandon Rodman
27,COO,14,Jared Rodman
28,CEO,15,Sid Sijbrandij
29,CTO,15,Dmitriy Zaporozhets
30,President,16,John Collison
31,Other,16,Patrick Collison
32,Other,17,Brandon Leonardo
33,CEO,17,Apoorva Mehta
34,,17,Max Mullen
35,CEO,18,Kyle Vogt
36,COO,18,Daniel Kan
37,CEO,19,Devin Finzer
38,,19,Alex Atallah
39,CTO,20,Marcelo Cortes
40,Other,20,Daniele Perito
41,CEO,20,Max Rhodes
42,CEO,21,Henrique Dubugras
43,Other,21,Pedro Franceschi
44,CEO,22,Alex Bouaziz
45,Other,22,Shuo Wang
46,CEO,23,Parker Conrad
47,CTO,23,Prasanna S
48,CEO,24,Steve Huffman
49,Other,25,Edward Kim
50,Other,25,Tomer London
51,CEO,25,Josh Reeves
52,CEO,26,Ryan Petersen
53,Other,27,Shashank Kumar
54,CEO,27,Harshil Mathur
55,CEO,28,Alexandr Wang
56,CEO,29,Sajith Wickramasekara
57,COO,30,Taylor Brown
58,Other,30,George Fraser
59,CEO,31,Simon Borrero
60,Other,31,Sebastian Mejia
61,Other,31,Felipe Villamarin
62,CEO,32,Daniel Yanisse
63,CTO,32,Jonathan Perichon
64,,33,Wade Foster
65,President,33,Mike Knoop
66,Other,33,Bryan Helmig
67,CEO,34,Vidit Aatrey
68,CTO,34,Sanjeev Barnwal
69,CTO,35,Jonas Templestein
70,CEO,36,Tim Ellis
71,Other,37,Logan Head
72,CEO,37,Grant Lafontaine
73,CTO,38,Bryant Chou
74,Other,38,Sergie Magdalin
75,Other,38,Vlad Magdalin
76,CTO,39,Bob Violier
77,CEO,39,Robert Vis
78,Other,39,Joey Van Ommen
79,CTO,40,Matt Feury
80,CEO,40,Garrett Langley
81,CTO,41,Grant Goodale
82,CEO,41,Daniel Lewis
83,Other,42,Jeff Lowe
84,Other,42,Matthew Mcdonald
85,Other,42,Jabbok Schlacks
86,President,42,William Schlacks
87,Other,42,Brad Siegler
88,Other,43,Eddy Lu
89,Other,43,Daishin Sugano
90,CEO,44,David Hsu
91,CEO,45,Mike Xu
92,,46,Calvin French-Owen
93,,46,Ilya Volodarsky
94,CEO,47,Jason Boehmig
95,CTO,47,Cai Gogwilt
96,Other,48,Aca Adekoya
97,Other,48,Olugbenga Gb Agboola
98,,49,Dennis Steele
99,CEO,49,Eric Rea
100,CTO,50,Bo Chen
101,Other,50,Juan Gonzalez
102,CEO,50,Moses Lo
103,Other,51,Ishan Bansal
104,COO,51,Harsh Jain
105,CEO,51,Lalit Keshre
106,Other,51,Neeraj Singh
107,Other,52,Nicholas Grandy
108,Other,52,Amir Nathoo
109,CEO,53,Jack Altman
110,CEO,54,David Kirtley
111,CTO,54,Chris Pihl
112,CEO,55,Matt Robinson
113,CEO,55,Hiroki Takeuchi
114,CEO,56,Nicolas Dessaigne
115,CTO,56,Julien Lemoine
116,CEO,57,Spike Lipkin
117,CTO,57,Gordon Wintrob
118,Other,58,Gaurab Chakrabarti
119,CTO,58,Sean Hunt
120,CEO,59,Andrew Barnes
121,Other,59,Chris Eigeland
122,CTO,59,Chris Hood
123,Other,59,Vu Tran
124,CEO,60,Solomon Hykes
125,,61,Dileep Thazhmon
126,,62,Matt Marcus
127,,62,Sam Aarons
128,CEO,62,Dimitri Dadiomov
129,CEO,63,Alexander Kates
